                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8592,                 3.2104,                 1.7901,                 0.5006,                 0.3053,                0.32849,                0.14983,                 1.8057,                 2.3443,                 1.8238,              0.0033028,              0.0033028,              0.0033028
                      2,                 1.6859,                 2.0872,                 1.6033,                0.38768,                0.34933,                0.29716,                0.12933,                 1.8922,                 2.4593,                 1.9286,              0.0065704,              0.0065704,              0.0065704
                      3,                 1.7316,                 1.9927,                   1.63,                0.31251,                0.30794,                0.23551,                0.08492,                 2.2503,                 3.4364,                 2.1183,               0.009772,               0.009772,               0.009772
                      4,                 1.7831,                 1.9593,                 1.6596,                0.34873,                0.28769,                0.23206,                0.08288,                 2.2795,                 3.0421,                 2.3763,               0.009703,               0.009703,               0.009703
                      5,                 1.7301,                 1.8021,                 1.6219,                0.47714,                0.34942,                0.35046,                0.15093,                 2.0566,                 2.3752,                 1.9523,               0.009604,               0.009604,               0.009604
                      6,                 1.7126,                 1.7319,                 1.5958,                0.50214,                0.34313,                0.34238,                0.14315,                 2.1921,                 2.3102,                 2.0212,               0.009505,               0.009505,               0.009505
                      7,                 1.6985,                 1.6605,                 1.5872,                0.54844,                0.44818,                0.45817,                0.21243,                 1.9003,                 1.8554,                 1.8388,               0.009406,               0.009406,               0.009406
                      8,                 1.6706,                 1.6025,                 1.5776,                0.68645,                0.53678,                0.58609,                0.28793,                 1.7714,                 1.4943,                 1.6582,               0.009307,               0.009307,               0.009307
                      9,                 1.6479,                 1.5665,                 1.5619,                0.73007,                0.51551,                0.57459,                0.28088,                 1.7954,                 1.4088,                 1.7085,               0.009208,               0.009208,               0.009208
                     10,                  1.638,                 1.5198,                 1.5537,                0.68821,                0.50389,                 0.5522,                0.26188,                 1.8378,                 1.5105,                 1.6974,               0.009109,               0.009109,               0.009109
                     11,                 1.6372,                 1.5177,                 1.5533,                0.70737,                0.55325,                0.59867,                0.30805,                 1.7094,                  1.351,                 1.6197,                0.00901,                0.00901,                0.00901
                     12,                 1.6121,                 1.4607,                 1.5347,                0.73155,                0.53364,                0.60593,                0.30992,                 1.7082,                 1.3496,                 1.6383,               0.008911,               0.008911,               0.008911
                     13,                  1.606,                 1.4294,                 1.5227,                0.68512,                0.47316,                0.53451,                0.26583,                 1.7237,                  1.464,                 1.6098,               0.008812,               0.008812,               0.008812
                     14,                 1.5839,                 1.3966,                 1.5109,                 0.7508,                0.54741,                0.61313,                0.31474,                 1.7461,                 1.2879,                 1.6569,               0.008713,               0.008713,               0.008713
                     15,                 1.5648,                 1.3719,                  1.498,                0.76875,                 0.5617,                0.63212,                0.32939,                 1.6784,                 1.2641,                  1.615,               0.008614,               0.008614,               0.008614
                     16,                 1.5608,                 1.3562,                 1.4923,                0.72087,                0.51774,                0.57933,                 0.2888,                   1.83,                 1.3499,                 1.6898,               0.008515,               0.008515,               0.008515
                     17,                 1.5405,                 1.3362,                 1.4815,                0.76849,                0.56591,                0.63597,                0.34369,                 1.6278,                 1.2128,                 1.5806,               0.008416,               0.008416,               0.008416
                     18,                 1.5458,                 1.3214,                  1.475,                0.79213,                0.57063,                0.64852,                0.34796,                 1.6567,                 1.1793,                 1.5799,               0.008317,               0.008317,               0.008317
                     19,                 1.5398,                 1.3066,                  1.477,                0.76696,                 0.5658,                0.62773,                0.32999,                 1.6738,                 1.2283,                 1.5971,               0.008218,               0.008218,               0.008218
                     20,                 1.5254,                 1.2862,                 1.4633,                0.76121,                0.55366,                0.62514,                0.32504,                 1.6684,                 1.2542,                 1.6105,               0.008119,               0.008119,               0.008119
                     21,                 1.5095,                 1.2706,                 1.4582,                0.72347,                0.53071,                0.58928,                0.32098,                 1.6414,                 1.3535,                 1.6059,                0.00802,                0.00802,                0.00802
                     22,                 1.4992,                 1.2624,                 1.4455,                0.79553,                0.61257,                0.67839,                 0.3735,                 1.5915,                 1.1018,                 1.5337,               0.007921,               0.007921,               0.007921
                     23,                 1.4971,                 1.2329,                 1.4411,                0.78568,                0.61291,                0.67939,                0.37734,                 1.5843,                 1.0871,                 1.5172,               0.007822,               0.007822,               0.007822
                     24,                 1.4892,                 1.2351,                  1.443,                0.80046,                0.59746,                0.67051,                0.37405,                 1.5473,                 1.1183,                 1.5129,               0.007723,               0.007723,               0.007723
                     25,                 1.4779,                  1.218,                 1.4282,                0.80961,                0.62246,                0.68842,                0.39346,                 1.5381,                 1.0643,                 1.4844,               0.007624,               0.007624,               0.007624
                     26,                 1.4701,                 1.2067,                 1.4245,                0.79079,                0.59796,                0.67273,                0.37785,                 1.6013,                 1.0847,                 1.5279,               0.007525,               0.007525,               0.007525
                     27,                 1.4583,                 1.1954,                 1.4196,                0.81096,                0.61487,                 0.6894,                0.39176,                 1.5526,                 1.0755,                 1.5064,               0.007426,               0.007426,               0.007426
                     28,                  1.458,                 1.1882,                 1.4135,                0.80954,                0.60235,                0.67656,                0.37758,                  1.603,                 1.0845,                 1.5357,               0.007327,               0.007327,               0.007327
                     29,                 1.4431,                 1.1718,                 1.4102,                0.80167,                0.62728,                0.69451,                0.39241,                 1.5356,                 1.0354,                 1.4945,               0.007228,               0.007228,               0.007228
                     30,                 1.4426,                 1.1674,                 1.4091,                0.81409,                0.62571,                0.69586,                0.39238,                 1.5723,                 1.0366,                 1.5043,               0.007129,               0.007129,               0.007129
                     31,                 1.4284,                 1.1446,                 1.3994,                0.84027,                0.61804,                0.69694,                0.40425,                 1.5097,                 1.0139,                 1.4656,                0.00703,                0.00703,                0.00703
                     32,                 1.4247,                 1.1348,                  1.397,                0.81789,                0.62919,                0.70379,                0.40583,                 1.5101,                 1.0212,                 1.4643,               0.006931,               0.006931,               0.006931
                     33,                 1.4168,                 1.1392,                 1.3975,                0.83853,                0.63066,                0.70718,                0.41166,                  1.497,                0.98856,                 1.4596,               0.006832,               0.006832,               0.006832
                     34,                 1.4165,                 1.1252,                 1.3889,                0.83218,                0.62313,                0.70834,                0.41879,                 1.4669,                 0.9939,                 1.4418,               0.006733,               0.006733,               0.006733
                     35,                 1.4066,                  1.105,                 1.3858,                0.82081,                0.61382,                0.69654,                0.40429,                 1.4895,                 1.0109,                 1.4602,               0.006634,               0.006634,               0.006634
                     36,                 1.3946,                 1.1103,                 1.3784,                0.83966,                 0.6411,                0.72087,                0.42814,                 1.4437,                0.96194,                 1.4322,               0.006535,               0.006535,               0.006535
                     37,                   1.39,                 1.0859,                 1.3711,                0.82581,                0.63602,                0.71318,                0.41995,                 1.4774,                  1.008,                 1.4509,               0.006436,               0.006436,               0.006436
                     38,                 1.3867,                  1.094,                 1.3728,                0.85387,                0.64545,                0.72456,                0.43113,                 1.4689,                0.93707,                 1.4323,               0.006337,               0.006337,               0.006337
                     39,                 1.3787,                 1.0786,                 1.3654,                0.83829,                0.65217,                0.72546,                0.43493,                 1.4511,                0.94006,                  1.421,               0.006238,               0.006238,               0.006238
                     40,                 1.3633,                 1.0631,                 1.3579,                0.83283,                0.63237,                0.71437,                0.42258,                 1.4668,                0.96228,                 1.4397,               0.006139,               0.006139,               0.006139
                     41,                 1.3694,                 1.0693,                 1.3572,                0.85147,                0.64505,                0.72482,                0.43061,                 1.4569,                0.93748,                 1.4199,                0.00604,                0.00604,                0.00604
                     42,                  1.363,                 1.0593,                 1.3521,                 0.8429,                0.64554,                0.72674,                 0.4331,                 1.4534,                0.93526,                 1.4322,               0.005941,               0.005941,               0.005941
                     43,                 1.3542,                 1.0485,                 1.3464,                0.84738,                0.66144,                0.73571,                0.44453,                 1.4258,                0.91548,                 1.4037,               0.005842,               0.005842,               0.005842
                     44,                 1.3482,                 1.0317,                 1.3417,                0.86183,                0.64207,                 0.7364,                0.44203,                 1.4299,                0.91802,                 1.4056,               0.005743,               0.005743,               0.005743
                     45,                 1.3351,                 1.0386,                 1.3363,                0.83377,                 0.6636,                0.73907,                0.44487,                  1.429,                0.90025,                 1.3965,               0.005644,               0.005644,               0.005644
                     46,                 1.3303,                 1.0268,                 1.3324,                   0.86,                0.65381,                0.73647,                0.44588,                 1.4168,                0.90724,                 1.3958,               0.005545,               0.005545,               0.005545
                     47,                 1.3318,                 1.0124,                 1.3359,                0.86388,                0.64982,                0.73748,                0.44771,                 1.4092,                0.89681,                 1.3892,               0.005446,               0.005446,               0.005446
                     48,                 1.3262,                 1.0144,                 1.3266,                0.86843,                0.64315,                0.73337,                0.44554,                 1.3963,                0.91231,                 1.3828,               0.005347,               0.005347,               0.005347
                     49,                 1.3173,                 1.0094,                 1.3283,                0.85046,                0.66173,                0.74373,                0.45496,                 1.3851,                0.88886,                 1.3811,               0.005248,               0.005248,               0.005248
                     50,                 1.3238,                 1.0063,                 1.3239,                0.87531,                0.66635,                0.74966,                0.45483,                 1.4032,                0.86673,                 1.3837,               0.005149,               0.005149,               0.005149
                     51,                  1.302,                0.98001,                  1.317,                0.85875,                0.66982,                0.75146,                0.45885,                  1.387,                0.86387,                 1.3779,                0.00505,                0.00505,                0.00505
                     52,                  1.294,                0.96993,                 1.3095,                0.87291,                0.65742,                0.74991,                0.46083,                 1.3826,                0.86329,                  1.381,               0.004951,               0.004951,               0.004951
                     53,                 1.3007,                 0.9849,                 1.3174,                0.85992,                0.66964,                0.75416,                0.46326,                 1.3768,                0.86089,                 1.3683,               0.004852,               0.004852,               0.004852
                     54,                 1.2849,                0.98046,                 1.3079,                0.86264,                0.66445,                0.75172,                0.46241,                  1.374,                 0.8575,                 1.3753,               0.004753,               0.004753,               0.004753
                     55,                 1.2709,                0.95656,                 1.3054,                0.85543,                0.68458,                0.75618,                0.46687,                 1.3639,                0.84795,                 1.3638,               0.004654,               0.004654,               0.004654
                     56,                 1.2802,                0.96182,                 1.3022,                0.85582,                0.67084,                0.75431,                0.46974,                 1.3513,                0.85189,                 1.3536,               0.004555,               0.004555,               0.004555
                     57,                 1.2699,                0.95999,                 1.2975,                0.85825,                0.67946,                 0.7559,                0.47138,                 1.3453,                0.83258,                 1.3465,               0.004456,               0.004456,               0.004456
                     58,                 1.2745,                 0.9489,                 1.2962,                0.86859,                0.68492,                0.76481,                0.47539,                  1.348,                0.81556,                  1.348,               0.004357,               0.004357,               0.004357
                     59,                 1.2586,                 0.9383,                 1.2863,                0.88685,                0.66598,                0.76101,                0.47428,                 1.3498,                  0.825,                 1.3445,               0.004258,               0.004258,               0.004258
                     60,                  1.247,                0.92507,                 1.2843,                0.87226,                0.68312,                0.76663,                0.47601,                 1.3491,                0.81776,                 1.3522,               0.004159,               0.004159,               0.004159
                     61,                  1.246,                0.92726,                 1.2816,                0.86589,                0.68097,                0.76719,                0.47836,                 1.3481,                0.81623,                 1.3474,                0.00406,                0.00406,                0.00406
                     62,                 1.2513,                0.92502,                 1.2827,                0.86588,                0.68902,                0.76775,                0.47935,                 1.3416,                0.81292,                 1.3485,               0.003961,               0.003961,               0.003961
                     63,                 1.2418,                0.91527,                 1.2804,                0.86749,                0.69189,                0.77121,                0.48589,                 1.3204,                0.80492,                 1.3314,               0.003862,               0.003862,               0.003862
                     64,                 1.2364,                0.91187,                 1.2764,                0.86855,                0.68463,                0.76901,                0.48721,                 1.3226,                0.80315,                 1.3298,               0.003763,               0.003763,               0.003763
                     65,                 1.2252,                0.90472,                 1.2726,                0.87393,                0.69467,                0.77296,                0.48452,                 1.3241,                0.79263,                 1.3305,               0.003664,               0.003664,               0.003664
                     66,                 1.2218,                0.89756,                 1.2697,                0.87365,                0.69071,                0.77125,                 0.4885,                 1.3127,                 0.7977,                 1.3279,               0.003565,               0.003565,               0.003565
                     67,                 1.2154,                0.89576,                 1.2643,                0.88466,                0.68654,                 0.7713,                0.48744,                 1.3142,                0.79197,                 1.3265,               0.003466,               0.003466,               0.003466
                     68,                 1.2107,                0.89063,                 1.2568,                0.87575,                0.68424,                0.77359,                0.48954,                 1.3128,                0.79049,                  1.329,               0.003367,               0.003367,               0.003367
                     69,                 1.2041,                0.87817,                 1.2598,                  0.887,                 0.6914,                0.77794,                0.49407,                  1.303,                0.78485,                 1.3196,               0.003268,               0.003268,               0.003268
                     70,                 1.1966,                0.87103,                 1.2543,                 0.8708,                0.69578,                0.77558,                0.49318,                 1.2998,                0.78479,                 1.3175,               0.003169,               0.003169,               0.003169
                     71,                 1.2001,                0.87103,                 1.2536,                0.87667,                0.70383,                0.78038,                0.49408,                 1.2957,                0.76889,                 1.3143,                0.00307,                0.00307,                0.00307
                     72,                 1.2019,                0.87709,                 1.2503,                0.88302,                0.70155,                0.78179,                0.49946,                 1.2931,                0.77574,                  1.314,               0.002971,               0.002971,               0.002971
                     73,                 1.1867,                0.86084,                 1.2467,                0.88996,                0.69213,                0.78203,                0.50133,                 1.2876,                0.77466,                 1.3089,               0.002872,               0.002872,               0.002872
                     74,                 1.1866,                 0.8603,                 1.2498,                0.88454,                0.70192,                0.78405,                0.50032,                 1.2889,                0.76613,                 1.3111,               0.002773,               0.002773,               0.002773
                     75,                 1.1798,                0.85587,                 1.2386,                0.89259,                0.69947,                0.78189,                0.50174,                  1.283,                0.76061,                 1.3045,               0.002674,               0.002674,               0.002674
                     76,                 1.1716,                0.84324,                 1.2394,                0.88767,                0.70603,                0.78509,                0.50116,                 1.2834,                0.75645,                 1.3069,               0.002575,               0.002575,               0.002575
                     77,                 1.1672,                0.84377,                 1.2352,                0.89205,                0.69443,                0.78444,                0.50527,                 1.2688,                0.75706,                 1.2999,               0.002476,               0.002476,               0.002476
                     78,                 1.1484,                0.82074,                 1.2265,                0.89139,                0.70062,                0.78513,                0.50697,                  1.275,                0.75336,                 1.3022,               0.002377,               0.002377,               0.002377
                     79,                 1.1549,                0.82742,                 1.2297,                0.88684,                0.70115,                 0.7856,                0.50862,                 1.2692,                0.74854,                 1.2985,               0.002278,               0.002278,               0.002278
                     80,                 1.1559,                0.83002,                 1.2283,                0.89359,                0.70239,                0.78636,                 0.5087,                 1.2677,                0.74295,                 1.2953,               0.002179,               0.002179,               0.002179
                     81,                 1.1537,                0.82545,                 1.2272,                0.90828,                0.68955,                 0.7854,                0.50899,                 1.2645,                0.74298,                 1.2958,                0.00208,                0.00208,                0.00208
                     82,                 1.1433,                0.81804,                 1.2264,                0.89822,                0.69802,                0.78552,                0.51027,                 1.2604,                0.73824,                 1.2926,               0.001981,               0.001981,               0.001981
                     83,                 1.1358,                0.81926,                 1.2169,                0.88789,                 0.7064,                0.78842,                0.51222,                 1.2598,                 0.7364,                 1.2931,               0.001882,               0.001882,               0.001882
                     84,                 1.1368,                0.81229,                 1.2163,                0.89051,                0.70713,                 0.7886,                0.51375,                 1.2546,                0.73239,                 1.2893,               0.001783,               0.001783,               0.001783
                     85,                 1.1253,                0.80142,                 1.2114,                0.90228,                0.70355,                0.79146,                0.51356,                 1.2545,                0.73065,                 1.2917,               0.001684,               0.001684,               0.001684
                     86,                  1.121,                0.79469,                 1.2115,                0.91118,                0.70101,                0.79213,                0.51434,                 1.2507,                0.73278,                 1.2885,               0.001585,               0.001585,               0.001585
                     87,                 1.1154,                0.79755,                  1.207,                0.90781,                0.70533,                0.79275,                0.51559,                 1.2517,                0.72896,                 1.2904,               0.001486,               0.001486,               0.001486
                     88,                 1.1168,                0.79175,                 1.2057,                0.89881,                0.70625,                0.79067,                0.51659,                  1.248,                0.72682,                 1.2876,               0.001387,               0.001387,               0.001387
                     89,                   1.11,                 0.7836,                 1.2053,                0.90381,                0.70386,                0.79136,                0.51667,                 1.2428,                0.72473,                 1.2862,               0.001288,               0.001288,               0.001288
                     90,                 1.1136,                0.78663,                 1.2087,                0.89902,                0.70465,                0.79313,                0.51697,                 1.2433,                0.72395,                 1.2858,               0.001189,               0.001189,               0.001189
                     91,                 1.0449,                0.66679,                 1.1949,                0.89413,                0.71336,                0.79318,                0.51751,                 1.2416,                 0.7219,                 1.2833,                0.00109,                0.00109,                0.00109
                     92,                 1.0191,                0.64808,                 1.1799,                0.89019,                 0.7145,                0.79302,                0.51843,                 1.2394,                0.71858,                 1.2825,               0.000991,               0.000991,               0.000991
                     93,                  1.007,                0.63594,                 1.1742,                0.89543,                0.71559,                0.79486,                0.51772,                 1.2412,                0.71599,                 1.2836,               0.000892,               0.000892,               0.000892
                     94,                0.99937,                0.63113,                  1.167,                0.89031,                 0.7174,                  0.795,                0.51984,                  1.238,                0.71651,                 1.2802,               0.000793,               0.000793,               0.000793
                     95,                0.99311,                0.62701,                 1.1638,                0.89769,                0.71636,                0.79714,                0.52089,                  1.235,                0.71391,                 1.2783,               0.000694,               0.000694,               0.000694
                     96,                0.98137,                0.62274,                 1.1619,                0.90162,                0.71519,                0.79722,                0.52291,                 1.2318,                0.71061,                 1.2772,               0.000595,               0.000595,               0.000595
                     97,                0.97396,                0.61466,                   1.15,                0.89972,                0.71496,                0.79706,                0.52259,                 1.2299,                0.70904,                 1.2771,               0.000496,               0.000496,               0.000496
                     98,                0.96556,                0.60732,                 1.1499,                0.89892,                 0.7158,                0.79744,                0.52409,                 1.2284,                 0.7088,                 1.2767,               0.000397,               0.000397,               0.000397
                     99,                0.96426,                0.60663,                 1.1483,                0.89765,                0.71864,                0.79771,                0.52452,                 1.2266,                0.70609,                 1.2769,               0.000298,               0.000298,               0.000298
                    100,                 0.9632,                0.60171,                 1.1497,                0.89779,                0.71883,                0.79799,                0.52427,                 1.2248,                0.70433,                 1.2762,               0.000199,               0.000199,               0.000199
